"","group","x1","x2","y1","y2","y3","y4","y5"
"124","a",48,5.8,12,5.4,210,240,0.72
"125","a",42,6.6,13,2.1,260,250,1.7
"126","a",7,7.3,12,3.2,300,260,8.2
"127","a",74,6.5,12,2.3,290,250,1.6
"128","a",70,3.4,12,0.3,110,140,0.32
"129","a",95,5.5,11,110,230,210,0.39
"130","a",59,9.1,13,5.2,370,220,0.62
"131","a",31,5.2,13,150,220,220,3.1
"132","a",46,9.4,12,17,380,260,0.61
"133","a",35,5.4,11,0.83,180,230,1.8
"134","a",37,7.7,12,5.9,320,350,1.7
"135","a",1,6.4,12,110,260,220,12
"136","a",61,4.5,13,0.9,170,170,0.79
"137","a",5,4.4,11,1,220,220,9.5
"138","a",1,6.2,12,2,280,200,12
"139","a",56,8,13,15,340,410,0.94
"140","a",68,8.5,13,0.18,380,350,0.7
"141","a",42,3.7,13,6.6,140,150,1.7
"142","a",89,7.8,12,81,330,440,0.74
"143","a",65,6.3,12,1200,280,300,0.27
"144","a",16,5.9,13,17,270,270,5.8
"145","a",6,5.5,13,210,210,260,8.4
"146","a",66,6.2,13,9.4,280,320,1
"147","a",72,6.7,11,0.36,260,250,1.6
"148","a",64,4.8,12,2.4,210,200,0.21
"149","a",100,9.4,14,940,440,250,0.2
"150","a",86,7.8,13,210,330,300,0.0079
"151","a",31,7,12,2.1,320,240,2.9
"152","a",96,4.3,14,7.4,170,200,0.44
"153","a",63,6.8,13,8.6,280,200,0.55
"154","a",60,7.2,10,19,270,260,0.72
"155","a",4,5.7,13,240,230,210,9.4
"156","a",10,6.5,11,76,260,250,6
"157","a",66,9.2,12,1500,340,490,0.84
"158","a",48,6.1,14,450,280,250,0.79
"159","a",33,4,12,8.9,190,170,3
"160","a",44,3.8,11,0.88,150,150,1.9
"161","a",70,6.8,13,2.9,270,300,0.41
"162","a",22,8.2,12,26,350,280,3.8
"163","a",15,2.6,12,2.7,110,120,5.9
"164","a",89,6.2,13,0.034,300,320,0.64
"165","a",64,4.8,13,91,200,210,1
"166","a",11,5.8,11,7.5,260,280,6.6
"167","a",20,2.9,11,82,160,120,4.6
"168","a",76,4.6,12,10,190,210,0.19
"169","a",45,2.8,10,94,83,130,0.95
"170","a",39,9.4,12,7.3,410,380,1.5
"171","a",55,6.2,12,57,230,240,0.71
"172","a",47,4.9,13,83,210,210,0.63
"173","a",90,6.5,11,210,310,280,0.043
"174","a",63,8,11,110,320,360,1.1
"175","a",64,6.5,12,27,270,290,0.056
"176","a",24,6.9,11,19,290,320,4.5
"177","a",17,6,13,8.4,250,210,5.5
"178","a",27,6.6,13,26,280,310,3.8
"179","a",72,8,11,29,350,270,0.32
"180","a",2,3.8,10,27,190,170,11
"181","a",48,3.4,13,0.94,140,140,0.79
"182","a",84,5.7,14,26,250,200,0.48
"183","a",72,3.3,12,11,89,110,0.43
"184","a",83,1.9,11,31,130,75,0.75
"185","a",30,2,10,120,120,83,3
"186","a",12,4.9,11,52,170,190,6.9
"187","a",67,5.5,10,71,230,230,0.95
"188","a",27,7.7,12,0.075,290,280,3.8
"189","a",71,9.4,12,38,400,460,0.092
"190","a",68,3.5,13,0.12,170,140,0.07
"191","a",52,4.1,11,14,180,170,2.1
"192","a",89,3.9,14,20,150,120,0.86
"193","a",21,6.4,13,1900,290,220,4.3
"194","a",5,6.8,13,0.58,300,260,8.9
"195","a",14,6.6,11,19,240,330,5.8
"196","a",44,6.3,13,0.11,270,290,1.9
"197","a",69,3.8,11,11,140,160,0.62
"198","a",42,6.9,13,130,270,290,1
"199","a",6,7.6,9.4,47,330,250,7.5
"200","a",51,12,13,57,410,520,2.1
"201","a",19,6.3,13,3.4,270,300,4.7
"202","a",79,5,12,13,220,170,0.024
"203","a",10,6,12,93,230,200,6.9
"204","a",82,5.2,12,6.6,210,200,0.17
"205","a",56,6.7,12,2.7,300,390,0.71
"206","a",77,7.5,9.9,13,330,290,0.23
"207","a",77,7.1,12,0.91,300,370,0.74
"208","a",46,8.1,12,13,330,250,1.8
"209","a",90,5.7,12,42,250,210,0.1
"210","a",32,5,12,160,210,160,2.8
"211","a",94,5.7,11,51,240,290,0.93
"212","a",3,5.5,14,3.6,230,280,9.9
"213","a",87,7.3,12,33,330,340,0.33
"214","a",34,9.2,12,13,430,360,3
"215","a",58,4.9,11,410,240,230,0.47
"216","a",77,7.5,11,4.2,250,290,0.54
"217","a",21,6.3,12,410,270,260,4.7
"218","a",51,7.1,11,60,310,320,1.3
"219","a",96,4.9,9.9,1,180,220,0.46
"220","a",81,4,13,33,190,200,0.32
"221","a",80,4.6,14,9.1,200,170,0.37
"222","a",96,7.3,13,2.1,270,350,0.32
"223","a",45,5,13,19,190,230,0.68
"224","a",59,9.3,12,1.6,390,350,0.65
"225","a",73,7.1,11,15,280,310,0.33
"226","a",72,5,12,33,240,230,0.42
"227","a",95,8,12,1.4,360,390,0.2
"228","a",45,5.7,14,0.32,250,210,1.4
"229","a",5,5.8,13,2.8,220,310,9
"230","a",53,5,11,10,200,230,0.8
"231","a",89,9.4,12,5.5,390,360,0.32
"232","a",67,4.8,10,3.5,240,210,0.69
"233","a",62,5.5,13,22,190,260,0.76
"234","a",16,5,12,0.2,230,270,4.8
"235","a",3,4.8,12,16,200,210,11
"236","a",2,4.2,11,12,160,200,11
"237","a",51,7.2,9,32,300,320,0.2
"238","a",35,9.3,12,62,420,460,1.8
"239","a",69,6.1,12,450,250,200,0.96
"240","a",51,7.1,14,91,320,290,1.3
"241","a",77,8,11,360,360,400,0.92
"242","a",85,6,11,8.8,250,280,0.75
"243","a",68,4.7,12,7,170,210,0.37
"244","a",56,6,13,110,300,250,1.4
"245","a",97,6.9,13,30,300,300,0.68
"246","a",78,4.2,12,33,140,170,0.25
"247","a",100,6.8,12,5.4,310,310,0.54
"248","a",46,6.6,12,6.8,280,330,0.18
"249","a",76,7.6,12,22,330,370,0.86
"250","a",8,6.1,10,380,260,230,7.6
"251","a",42,6.8,11,7.5,250,260,1.8
"252","a",91,7.6,10,45,300,300,0.66
"253","a",29,2.4,11,5.4,110,99,2.8
"254","a",73,5.9,11,0.95,210,310,0.36
"255","a",3,4.5,13,87,200,190,10
"256","a",33,7.6,12,130,310,340,2.2
"257","a",21,3.3,13,6.3,120,130,4.2
"258","a",23,11,12,24,450,480,3.2
"259","a",15,3.5,14,0.02,180,130,5.7
"260","a",12,4,12,44,180,180,6.8
"261","a",71,7.5,13,27,310,360,0.71
"262","a",25,2.7,12,2100,130,110,3.8
"263","a",10,6.8,14,2.4,290,320,7.2
"264","a",24,4.3,13,100,200,180,3.3
"265","a",21,7.4,12,66,330,210,4.7
"266","a",84,6.7,13,200,260,300,1.3
"267","a",57,7,12,190,310,180,0.57
"268","a",60,7.5,13,73,300,280,0.65
"269","a",5,6.7,11,260,250,210,9.5
"270","a",24,4.6,12,11,210,240,3.4
"271","a",65,6.5,11,74,290,310,0.17
"272","a",81,6.4,11,120,290,200,0.38
"273","a",37,9.5,14,5.7,400,420,2.3
"274","a",22,5.2,13,8.9,140,220,4.4
"275","a",52,8.4,14,120,360,400,1.1
"276","a",23,4.9,13,64,190,190,3.9
"277","a",26,8.7,13,650,310,420,3.4
"278","a",60,5.1,12,29,230,270,1
"279","a",41,3.3,12,7,150,120,1.1
"280","a",87,9.2,12,13,390,430,0.7
"281","a",62,6.1,11,3.8,270,290,0.77
"282","a",4,6.9,12,32,280,230,9.7
"283","a",61,8.4,11,160,370,360,1
"284","a",47,7,11,37,280,290,1.2
"285","a",100,11,9.7,4.2,460,440,1
"286","a",55,5.5,10,24,240,260,1.3
"287","a",15,4.6,12,15,190,210,4.8
"288","a",62,2.6,12,13,120,120,0.69
"289","a",73,2.8,12,37,110,96,0.096
"290","a",87,6,12,41,210,230,0.5
"291","a",63,4.2,12,42,170,190,0.14
"292","a",97,6.8,13,4.3,300,370,0.63
"293","a",4,2.8,12,780,98,120,9.4
"294","a",83,7.6,13,7,320,260,0.064
"295","a",13,6.4,14,0.65,270,260,6.7
"296","a",34,5.3,13,11,210,190,2
"297","a",47,5.8,13,47,260,240,1.4
"298","a",11,6.3,12,0.45,200,270,7.2
"299","a",22,3.8,11,57,160,160,4.3
"300","a",97,6.5,12,0.21,250,250,0.38
"301","a",99,3.7,11,11,160,150,0.69
"302","a",32,6.9,13,92,260,270,3.4
"303","a",19,4.1,13,47,150,180,4.8
"304","a",27,7.4,13,25,320,270,3.7
"305","a",85,5.8,13,1,270,230,0.17
"306","a",35,1.8,12,200,100,80,2.2
"307","a",92,9.3,13,15,400,430,0.93
"308","a",86,5.3,11,170,230,240,0.35
"309","a",71,11,13,1.5,470,570,1.2
"310","a",67,3.5,13,470,150,150,0.0061
"311","a",6,5.8,12,2.5,230,230,8.1
"312","a",3,5.4,12,2.7,220,240,9.3
"313","a",51,4.8,12,460,160,190,0.0093
"314","a",95,5.5,14,1.4,210,200,0.65
"315","a",31,11,12,250,450,460,2.4
"316","a",52,5,13,15,240,200,1.1
"317","a",5,8.7,13,0.28,380,350,9.9
"318","a",3,5.3,11,47,230,240,10
"319","a",73,7.1,13,2.2,270,250,0.15
"320","a",32,1.5,13,4.8,53,64,3.1
"321","a",34,6.5,13,99,290,180,2.2
"322","a",3,6.8,14,8,310,300,10
"323","a",89,7.4,12,180,280,350,1.4
"324","a",54,5.9,13,270,260,260,1.7
"325","a",57,1.7,13,45,55,69,1.2
"326","a",69,3,11,1,140,130,0.64
"327","a",34,6.3,11,0.5,220,280,1.7
"328","a",26,5.8,12,1,220,250,2.9
"329","a",37,1,12,46,52,43,2.1
"330","a",61,3.1,14,2.2,110,130,0.75
"331","a",29,4.2,13,12,170,170,1.7
"332","a",85,4.4,12,110,210,210,0.28
"333","a",70,5.8,11,7.6,240,270,1.2
"334","a",40,7.2,12,0.19,290,340,2
"335","a",28,1.8,12,210,110,66,2.8
"336","a",39,6.4,12,0.23,280,200,0.62
"337","a",96,6.8,14,85,310,320,0.24
"338","a",82,7.2,11,11,290,290,0.17
"339","a",55,3.5,12,260,100,150,0.22
"340","a",57,4.6,12,3.8,180,210,0.64
"341","a",93,5.1,12,270,220,210,0.0013
"342","a",68,6.2,13,25,200,240,0.9
"343","a",61,8,12,0.69,370,390,0.65
"344","a",23,6.6,11,59,350,290,3.7
"345","a",56,2.7,12,77,150,120,0.43
"346","a",85,6.7,12,3.4,280,230,0.08
"347","a",60,4.9,12,64,260,230,0.72
"348","a",50,6.7,12,7.8,270,250,1.2
"349","a",17,6.2,13,21,220,320,4.8
"350","a",15,8.1,12,82,320,280,5.9
"351","a",28,3.8,13,970,140,190,2.3
"352","a",37,5.4,11,5.6,230,270,1.2
"353","a",8,6.3,13,2.9,290,270,8.1
"354","a",40,1.1,14,1.7,60,46,1.9
"355","a",37,6.2,12,1.7,250,280,1.6
"356","a",51,7.7,14,0.54,290,420,0.99
"357","a",91,5.3,13,6.1,250,230,0.65
"358","a",81,8.2,13,88,380,340,0.43
"359","a",48,6.3,13,3.5,240,370,0.33
"360","a",65,4.5,12,0.65,200,190,0.67
"361","a",11,7.1,11,36,350,250,6.5
"362","a",32,7.5,13,230,310,300,2.6
"363","a",39,8.4,11,7.9,350,330,1
"364","a",45,5.5,13,77,240,190,2.1
"365","a",50,6.9,13,2.4,270,210,0.87
"366","a",93,2.6,12,1.8,110,92,0.65
"367","a",100,7.5,11,77,330,310,0.33
"368","a",38,4.5,11,10,210,160,2.2
"369","a",55,5.8,12,1.2,220,220,0.39
"370","a",5,5.3,12,37,210,210,9.9
"371","a",27,5.8,11,0.18,270,270,3.1
"372","a",94,3.9,13,17,170,150,0.72
"373","a",37,4.1,12,280,170,160,2.4
"374","a",37,6.6,12,6.8,280,310,2
"375","a",73,4.9,12,310,200,180,0.92
"376","a",22,2.5,13,230,87,110,3.7
"377","a",46,7.3,13,6.3,300,310,0.8
"378","a",28,2.5,14,5.8,100,100,3.1
"379","a",1,3.7,12,7.9,120,180,12
"380","a",71,6.7,11,100,280,340,0.085
"381","a",31,6.9,9.9,0.64,280,290,2
"382","a",10,7.4,11,5,280,230,7.5
"383","a",73,3.8,12,14,100,160,0.12
"384","a",86,4.9,12,220,220,190,0.0057
"385","a",11,7.1,12,430,310,400,6.6
"386","a",39,2.9,14,5,82,120,2
"387","a",91,5.4,13,18,250,150,0.19
"388","a",28,6.5,12,59,280,230,3
"389","a",38,5.2,12,8.4,220,190,1.9
"390","a",44,3.3,12,0.14,160,150,2.1
"391","a",100,6.9,12,47,290,260,0.73
"392","a",12,6.8,12,700,280,240,6
"393","a",27,8.7,11,170,350,320,3.5
"394","a",68,6.7,13,470,270,330,0.22
"395","a",39,6.1,12,84,270,280,1.6
"396","a",22,4.5,13,0.53,210,210,4
"397","a",83,6.3,11,3.9,280,280,0.3
"398","a",79,7.9,13,13,320,300,0.089
"399","a",16,5.3,10,570,190,200,6
"400","a",76,4.6,12,3.6,220,220,0.6
"401","a",33,8.8,12,65,420,340,1.6
"402","a",62,5.5,11,25,220,210,1
"403","a",18,8,11,89,310,330,4.7
"404","a",72,8.7,14,30,310,410,0.28
"405","a",42,4.9,11,1.8,200,190,1.4
"406","a",75,7.1,12,140,290,260,0.056
"407","a",32,9.1,12,170,380,360,2.5
"408","a",30,2.3,12,75,76,97,2.7
"409","a",51,5.1,13,10,200,220,0.61
"410","a",62,8.4,12,2.1,380,370,0.27
"411","a",44,6.5,13,8.1,240,300,1
"412","a",41,6.8,12,240,270,250,1.2
"413","a",35,8.4,12,11,410,320,2
"414","a",32,3.2,9.9,550,160,110,2.2
"415","a",59,2.3,11,0.19,78,76,1.1
"416","a",31,4,13,14,140,170,2.2
"417","a",40,5.7,14,33,230,280,1.3
"418","a",90,6.7,12,1.1,290,270,0.56
"419","a",84,4.9,12,140,220,200,0.12
"420","a",59,5.4,11,550,230,260,0.83
"421","a",9,5.6,11,36,250,240,7.8
"422","a",57,6,12,0.23,260,240,0.78
"423","a",1,4.3,9.9,26,140,190,11
"424","a",96,4.7,12,3,180,210,0.31
"425","a",40,5.9,11,310,220,220,2
"426","a",45,7.1,12,38,330,390,0.56
"427","a",2,6.5,11,9.5,270,280,11
"428","a",53,7.3,12,0.063,320,380,0.28
"429","a",64,5.3,11,8.4,240,260,0.29
"430","a",40,6.4,11,740,240,220,1.8
"431","a",4,4,12,18,160,160,9.5
"432","a",32,6.4,14,93,280,300,2.6
"433","a",34,7,13,12,280,280,2.2
"434","a",59,6.1,12,1100,230,250,0.57
"435","a",84,4.9,13,10,190,240,0.034
"436","a",13,5.9,11,0.35,250,220,7.2
"437","a",22,7.8,11,0.1,320,460,4.5
"438","a",9,4.2,13,260,190,200,7
"439","a",94,7.5,11,5.6,320,270,0.17
"440","a",56,5.7,12,110,280,230,0.44
"441","a",91,8.6,13,12,370,350,0.52
"442","a",61,5.6,12,22,210,200,0.74
"443","a",14,4.6,13,0.77,220,190,5.7
"444","a",91,3.5,12,56,180,170,0.32
"445","a",28,4.8,12,69,230,200,3.8
"446","a",56,6,13,260,240,340,1.3
"447","a",1,6.7,11,270,280,230,12
"448","a",81,6,12,1800,230,200,0.43
"449","a",68,7.1,13,190,320,310,0.14
"450","a",51,6.8,11,12000,300,330,1.6
"451","a",91,6.4,12,6,280,220,0.33
"452","a",44,9.5,13,670,390,530,0.2
"453","a",87,2.3,13,7.2,77,100,0.2
"454","a",22,4.2,13,3.3,130,180,3.8
"455","a",7,4.8,14,17,230,190,7.7
"456","a",15,6.8,12,0.57,330,290,5.6
"457","a",70,8.6,13,88,370,330,1.3
"458","a",92,4.8,11,8.9,190,190,0.012
"459","a",34,8.8,12,47000,360,350,2.8
"460","a",34,3.3,11,9,130,150,2.8
"461","a",87,7,12,16,250,340,0.14
"462","a",41,6.9,11,8.6,310,350,1.4
"463","a",86,6.7,10,110,260,210,0.43
"464","a",87,4.5,12,7000,210,190,0.52
"465","a",96,7,12,0.54,290,210,0.36
"466","a",17,5.9,11,170,270,210,5.7
"467","a",15,4.8,11,0.3,160,260,5.2
"468","a",59,7.9,13,1.9,340,400,0.71
"469","a",55,7.2,11,13,290,230,0.76
"470","a",4,9.4,12,8.3,390,480,9.9
"471","a",85,4.5,12,73,200,160,0.49
"472","a",19,2.8,13,66,150,120,5.2
"473","a",42,6,12,190,200,250,1.4
"474","a",7,6,11,4.3,260,320,9.3
"475","a",96,5.7,11,9.1,210,220,0.47
"476","a",37,5.2,12,4.4,230,190,2.3
"477","a",5,7.3,10,45,310,290,9.8
"478","a",37,6.5,11,97,260,250,1.8
"479","a",37,8.9,12,0.29,390,330,1.8
"480","a",94,4.6,9.9,300,230,210,0.35
"481","a",54,7.4,10,5.9,320,380,1.6
"482","a",5,3.5,12,1300,150,160,11
"483","a",100,4.9,13,48,230,220,0.45
"484","a",49,7.1,11,34,330,320,0.5
"485","a",33,5.2,14,1.1,240,240,3.1
"486","a",6,5.2,11,2.3,230,220,10
"487","a",27,6,11,1.3,250,240,3.1
"488","a",22,4.8,14,52,200,180,4.2
"489","a",77,7.6,12,2.5,290,410,0.28
"490","a",72,5.8,11,0.9,250,280,0.92
"491","a",29,12,13,58,500,340,2.8
"492","a",73,8.1,11,0.13,330,460,0.35
"493","a",53,4.4,12,57,180,150,1.6
"494","a",9,7.7,13,530,330,250,7.6
"495","a",99,5.4,10,31,230,190,0.22
"496","a",67,4.1,10,27,160,170,0.25
"497","a",66,6.6,14,2.6,280,290,0.38
"498","a",16,6.4,13,3.6,270,240,5.6
"499","a",52,7.3,11,44,330,340,0.71
"500","a",49,1.9,13,1.3,71,85,1.1
"501","a",10,11,11,4.4,490,480,8.3
"502","a",41,4.2,11,9.6,220,190,1
"503","a",91,5.4,13,75,230,210,0.78
"504","a",70,4.7,12,0.84,170,160,1.1
"505","a",31,6.1,14,12,250,260,2.5
"506","a",57,6.2,13,200,270,220,0.27
"507","a",75,8.8,14,990,360,320,0.18
"508","a",43,2.8,13,43,120,120,1.8
"509","a",79,5.8,9.6,110,250,220,0.014
"510","a",44,5.7,13,31,260,270,1.4
"511","a",88,5.9,12,6.9,270,210,0.44
"512","a",18,3.4,9.9,740,160,160,4.6
"513","a",33,5.4,13,1000,250,260,2.5
"514","a",58,8.8,11,9.5,380,440,0.2
"515","a",64,8.6,12,340,390,390,1.1
"516","a",18,6.6,12,6.7,270,230,5.4
"517","a",8,3.7,10,32,180,140,8.5
"518","a",35,7.4,12,44,350,360,2.1
"519","a",11,8.5,11,10,410,330,7.4
"520","a",74,8.3,11,13,350,300,1.1
"521","a",80,8.7,11,0.75,360,490,0.92
"522","a",89,7.9,12,0.43,320,330,0.23
"523","a",77,3.1,11,54,58,120,0.33
"524","a",88,7.3,12,13,250,280,0.27
"525","a",3,3.6,12,98,140,160,11
"526","a",80,6.1,13,2400,260,280,0.0035
"527","a",19,6.7,12,420,300,210,4.5
"528","a",27,1.9,12,1400,84,86,3
"529","a",84,3.2,13,2.1,150,130,0.19
"530","a",54,5.5,12,33,220,200,0.23
"531","a",62,4.7,12,13,150,230,0.42
"532","a",2,6.7,13,440,290,300,10
"533","a",82,8.1,12,460,330,280,0.41
"534","a",83,5.7,10,35,250,300,0.093
"535","a",18,3.7,9.8,13,150,170,4.4
"536","a",98,8.1,12,14,300,290,0.06
"537","a",83,7.8,10,16,300,330,0.36
"538","a",94,7.9,12,43,340,350,0.56
"539","a",69,4.7,12,2.2,200,180,0.011
"540","a",39,6.6,14,2.1,270,340,1.5
"541","a",54,6.7,12,15,290,330,0.67
"542","a",34,7,10,0.67,260,340,2.1
"543","a",100,7.7,11,710,290,290,0.61
"544","a",92,4.9,12,0.45,210,240,0.96
"545","a",47,5,12,4.3,230,210,1.1
"546","a",37,5.4,11,620,230,270,2.3
"547","a",83,10,12,30,480,500,0.81
"548","a",32,6.1,13,6,260,300,2.8
"549","a",12,4.8,9.8,0.88,170,210,6.1
"550","a",68,3.9,12,31,160,140,0.041
"551","a",23,5.9,11,1,210,250,3.9
"552","a",17,8.1,12,3100,330,310,5.9
"553","a",79,7.4,11,17,360,340,0.57
"554","a",64,4.7,12,8.2,190,230,0.41
"555","a",5,3.7,11,31,130,140,9.8
"556","a",42,6,12,14,290,280,1.8
"557","a",17,6.9,9.2,1.8,310,200,5.6
"558","a",44,4.2,13,72,200,180,1.3
"559","a",65,2.4,14,1.2,120,82,0.6
"560","a",63,6.7,11,5.6,310,350,1.4
"561","a",3,5.9,13,18,230,240,11
"562","a",98,7.8,12,30,310,320,0.78
"563","a",46,7.8,11,8.1,320,350,0.59
"564","a",60,4.3,12,15,180,180,0.38
"565","a",86,8.5,11,15,350,340,0.8
"566","a",45,4,11,730,140,170,1
"567","a",71,4.7,12,68,190,190,0.053
"568","a",84,8.5,12,7.4,390,290,0.014
"569","a",49,10,12,0.45,480,560,0.88
"570","a",53,7.8,12,750,340,320,0.93
"571","a",70,4.3,13,360,180,200,0.076
"572","a",73,5.2,12,6.3,230,210,0.13
"573","a",32,5.8,12,4.6,250,230,2
"574","a",99,7,11,210,280,210,0.24
"575","a",8,5.2,12,220,220,180,8.6
"576","a",74,7.1,11,16,260,230,0.062
"577","a",30,5.5,11,8.4,230,220,2.7
"578","a",19,7.3,12,16,340,420,4.5
"579","a",28,6.9,11,37,280,260,2.7
"580","a",15,5.6,13,16,220,250,5.2
"581","a",13,7.3,12,82,310,230,6.8
"582","a",47,6.5,12,5.5,280,290,0.75
"583","a",65,7.6,11,8.9,320,340,0.45
"584","a",77,6.1,12,3.6,250,230,0.28
"585","a",99,7.4,12,16,320,360,0.47
"586","a",37,6.7,12,120,310,300,1.6
"587","a",98,3.6,12,23,160,130,0.066
"588","a",25,5.9,12,8.8,180,240,2.9
"589","a",72,6.4,10,92,250,210,0.81
"590","a",43,5.6,11,0.78,200,240,1.2
"591","a",87,6.4,13,0.53,290,320,0.2
"592","a",35,4.7,13,0.14,270,200,1.7
"593","a",74,5.1,12,36,200,210,0.52
"594","a",29,2.9,11,140,140,110,2.5
"595","a",93,6.7,14,0.66,240,250,0.74
